Style,Standard,,,,,,,,,,,,,,,,,,,,,,
Append Mode,1,,,,,,,,,,,,,,,,,,,,,,
Fill Mode,1,,,,,,,,,,,,,,,,,,,,,,
Capacity,100000,,,,,,,,,,,,,,,,,,,,,,
Count,51,,,,,,,,,,,,,,,,,,,,,,
Base Time Seconds,1706965205,,,,,,,,,,,,,,,,,,,,,,
Base Time Fractional,0.6614282,,,,,,,,,,,,,,,,,,,,,,
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,1.77E-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-1.23807E-08,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:05,0.6614282
2,0.000897586,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,9.99175E-06,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:05,0.83085852
3,0.001775558,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,1.99927E-05,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:06,0.00026898
4,0.002653531,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,2.99837E-05,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:06,0.16967882
5,0.003532053,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,3.99862E-05,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:06,0.3391044
6,0.004410437,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.99881E-05,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:06,0.50853352
7,0.005289919,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,5.99918E-05,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:06,0.67795226
8,0.006167751,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,6.99946E-05,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:06,0.8473691
9,0.007046412,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,7.99982E-05,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:07,0.0167719
10,0.007924107,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,8.99851E-05,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:07,0.18620166
11,0.008803449,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,9.99899E-05,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:07,0.35563
12,0.009682247,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000109992,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:07,0.5250635
13,0.010560909,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000119997,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:07,0.69447656
14,0.011438878,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.00013,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:07,0.86388984
15,0.012315754,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000139985,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:08,0.0333004
16,0.013194549,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000149989,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:08,0.2027165
17,0.014070735,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000159993,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:08,0.37215348
18,0.014947334,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000169997,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:08,0.5415713
19,0.015827913,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000179999,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:08,0.71098938
20,0.01670767,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000190004,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:08,0.8804183
21,0.017582068,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000199989,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:09,0.0498271
22,0.018459342,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000209991,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:09,0.21925508
23,0.019338151,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000219998,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:09,0.38868344
24,0.020215428,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000229998,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:09,0.55810584
25,0.021093946,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000240002,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:09,0.72752416
26,0.02197082,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000250006,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:09,0.89695366
27,0.022845497,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000259992,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:10,0.0663944
28,0.02372277,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000269993,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:10,0.23581752
29,0.024601301,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000279998,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:10,0.40526626
30,0.025478035,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000290001,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:10,0.57469038
31,0.026355585,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000300004,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:10,0.74412042
32,0.027234102,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000309993,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:10,0.91354888
33,0.028112486,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000319994,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:11,0.08297514
34,0.028991554,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000329996,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:11,0.25241414
35,0.029871851,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.00034,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:11,0.42183734
36,0.030751461,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000350002,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:11,0.5912801
37,0.031631369,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000360003,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:11,0.76069108
38,0.032509185,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.00036999,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:11,0.93011176
39,0.033388384,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000379992,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:12,0.09953876
40,0.034270335,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000389996,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:12,0.2689479
41,0.035150915,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000399999,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:12,0.43837034
42,0.036030266,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000410003,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:12,0.60779636
43,0.036911778,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000419988,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:12,0.77721642
44,0.037792232,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000429991,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:12,0.94663118
45,0.038673766,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000439997,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:13,0.11605162
46,0.039555028,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000449996,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:13,0.28546622
47,0.040437642,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.00046,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:13,0.45490346
48,0.04131905,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000470004,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:13,0.6243206
49,0.042199232,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000479991,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:13,0.7937445
50,0.043080773,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.00048999,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:13,0.96318022
51,0.04396477,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.000499993,Amp DC,0.001,T,4W,F,F,2/3/2024,13:00:14,0.13260624
