eta,Re1_c,Taylor,k_c
0.497,68.1355,3119.7766,3.16299
0.496,68.1193,3126.5804,3.16317
0.495,68.1035,3133.4202,3.16334
0.494,68.088,3140.2962,3.16351
0.493,68.0728,3147.2087,3.16369
0.492,68.058,3154.158,3.16387
0.491,68.0436,3161.1443,3.16404
0.49,68.0295,3168.168,3.16422
0.489,68.0157,3175.2292,3.1644
0.488,68.0024,3182.3284,3.16458
0.487,67.9893,3189.4657,3.16476
0.486,67.9767,3196.6415,3.16494
0.485,67.9643,3203.856,3.16512
0.484,67.9524,3211.1096,3.1653
0.483,67.9408,3218.4026,3.16548
0.482,67.9295,3225.7352,3.16567
0.481,67.9186,3233.1077,3.16585
0.48,67.9081,3240.5206,3.16603
0.479,67.8979,3247.9739,3.16622
0.478,67.8881,3255.4682,3.16641
0.477,67.8786,3263.0037,3.16659
0.476,67.8696,3270.5807,3.16678
0.475,67.8608,3278.1995,3.16697
0.474,67.8524,3285.8605,3.16716
0.473,67.8444,3293.564,3.16735
0.472,67.8368,3301.3104,3.16754
0.471,67.8295,3309.0999,3.16773
0.47,67.8225,3316.9329,3.16792
0.469,67.816,3324.8097,3.16811
0.468,67.8098,3332.7308,3.16831
0.467,67.8039,3340.6964,3.1685
0.466,67.7985,3348.7069,3.1687
0.465,67.7934,3356.7626,3.16889
0.464,67.7886,3364.8639,3.16909
0.463,67.7843,3373.0113,3.16929
0.462,67.7803,3381.2049,3.16949
0.461,67.7766,3389.4453,3.16968
0.46,67.7734,3397.7328,3.16988
0.459,67.7705,3406.0678,3.17009
0.458,67.768,3414.4506,3.17029
0.457,67.7658,3422.8816,3.17049
0.456,67.7641,3431.3613,3.17069
0.455,67.7627,3439.89,3.1709
0.454,67.7617,3448.4681,3.1711
0.453,67.761,3457.0961,3.17131
0.452,67.7607,3465.7743,3.17151
0.451,67.7609,3474.5031,3.17172
0.45,67.7613,3483.283,3.17193
0.449,67.7622,3492.1144,3.17214
0.448,67.7635,3500.9977,3.17235
0.447,67.7651,3509.9334,3.17256
0.446,67.7671,3518.9218,3.17277
0.445,67.7695,3527.9635,3.17298
0.444,67.7723,3537.0588,3.17319
0.443,67.7755,3546.2082,3.17341
0.442,67.7791,3555.4122,3.17362
0.441,67.783,3564.6712,3.17384
0.44,67.7873,3573.9857,3.17405
0.439,67.7921,3583.3561,3.17427
0.438,67.7972,3592.783,3.17449
0.437,67.8027,3602.2668,3.17471
0.436,67.8086,3611.8079,3.17493
0.435,67.8149,3621.407,3.17515
0.434,67.8216,3631.0644,3.17537
0.433,67.8288,3640.7807,3.17559
0.432,67.8363,3650.5563,3.17582
0.431,67.8442,3660.3919,3.17604
0.43,67.8525,3670.2879,3.17626
0.429,67.8612,3680.2448,3.17649
0.428,67.8703,3690.2631,3.17672
0.427,67.8798,3700.3434,3.17695
0.426,67.8898,3710.4863,3.17717
0.425,67.9001,3720.6922,3.1774
0.424,67.9108,3730.9618,3.17763
0.423,67.922,3741.2956,3.17787
0.422,67.9336,3751.6941,3.1781
0.421,67.9456,3762.1579,3.17833
0.42,67.958,3772.6877,3.17857
0.419,67.9708,3783.2839,3.1788
0.418,67.9841,3793.9472,3.17904
0.417,67.9978,3804.6782,3.17928
0.416,68.0119,3815.4775,3.17951
0.415,68.0264,3826.3456,3.17975
0.414,68.0413,3837.2833,3.17999
0.413,68.0567,3848.2911,3.18023
0.412,68.0725,3859.3697,3.18048
0.411,68.0888,3870.5197,3.18072
0.41,68.1055,3881.7417,3.18096
0.409,68.1226,3893.0365,3.18121
0.408,68.1401,3904.4046,3.18145
0.407,68.1581,3915.8468,3.1817
0.406,68.1765,3927.3637,3.18195
0.405,68.1954,3938.956,3.1822
0.404,68.2148,3950.6245,3.18245
0.403,68.2345,3962.3697,3.1827
0.402,68.2547,3974.1925,3.18295
0.401,68.2754,3986.0935,3.1832
0.4,68.2966,3998.0735,3.18346
0.399,68.3181,4010.1331,3.18371
0.398,68.3402,4022.2733,3.18397
0.397,68.3627,4034.4946,3.18423
0.396,68.3857,4046.798,3.18448
0.395,68.4091,4059.1841,3.18474
0.394,68.433,4071.6537,3.185
0.393,68.4574,4084.2076,3.18526
0.392,68.4822,4096.8467,3.18553
0.391,68.5075,4109.5717,3.18579
0.39,68.5333,4122.3834,3.18605
0.389,68.5596,4135.2828,3.18632
0.388,68.5863,4148.2706,3.18659
0.387,68.6136,4161.3476,3.18685
0.386,68.6413,4174.5149,3.18712
0.385,68.6695,4187.7731,3.18739
0.384,68.6982,4201.1233,3.18766
0.383,68.7274,4214.5662,3.18794
0.382,68.7571,4228.1029,3.18821
0.381,68.7873,4241.7342,3.18848
0.38,68.818,4255.4611,3.18876
0.379,68.8492,4269.2845,3.18904
0.378,68.8809,4283.2053,3.18931
0.377,68.9131,4297.2246,3.18959
0.376,68.9459,4311.3432,3.18987
0.375,68.9791,4325.5623,3.19015
0.374,69.0129,4339.8827,3.19044
0.373,69.0472,4354.3056,3.19072
0.372,69.082,4368.8319,3.191
0.371,69.1173,4383.4627,3.19129
0.37,69.1532,4398.199,3.19158
0.369,69.1896,4413.042,3.19186
0.368,69.2266,4427.9926,3.19215
0.367,69.2641,4443.052,3.19244
0.366,69.3021,4458.2214,3.19274
0.365,69.3407,4473.5017,3.19303
0.364,69.3798,4488.8943,3.19332
0.363,69.4195,4504.4002,3.19362
0.362,69.4598,4520.0206,3.19391
0.361,69.5006,4535.7566,3.19421
0.36,69.542,4551.6096,3.19451
0.359,69.5839,4567.5807,3.19481
0.358,69.6264,4583.6711,3.19511
0.357,69.6695,4599.8822,3.19542
0.356,69.7132,4616.2151,3.19572
0.355,69.7574,4632.6712,3.19602
0.354,69.8023,4649.2518,3.19633
0.353,69.8477,4665.9581,3.19664
0.352,69.8937,4682.7916,3.19695
0.351,69.9404,4699.7536,3.19726
0.35,69.9876,4716.8454,3.19757
0.349,70.0354,4734.0685,3.19788
0.348,70.0839,4751.4242,3.1982
0.347,70.1329,4768.9141,3.19851
0.346,70.1826,4786.5396,3.19883
0.345,70.2329,4804.3021,3.19915
0.344,70.2838,4822.2031,3.19947
0.343,70.3354,4840.2442,3.19979
0.342,70.3876,4858.4268,3.20011
0.341,70.4404,4876.7527,3.20043
0.34,70.4939,4895.2232,3.20076
0.339,70.5481,4913.8401,3.20108
0.338,70.6029,4932.605,3.20141
0.337,70.6583,4951.5195,3.20174
0.336,70.7144,4970.5853,3.20207
0.335,70.7712,4989.804,3.2024
0.334,70.8287,5009.1775,3.20273
0.333,70.8868,5028.7074,3.20307
0.332,70.9456,5048.3956,3.2034
0.331,71.0051,5068.2438,3.20374
0.33,71.0653,5088.2538,3.20408
0.329,71.1262,5108.4276,3.20442
0.328,71.1879,5128.7669,3.20476
0.327,71.2502,5149.2737,3.2051
0.326,71.3132,5169.95,3.20545
0.325,71.377,5190.7976,3.20579
0.324,71.4415,5211.8186,3.20614
0.323,71.5067,5233.015,3.20649
0.322,71.5726,5254.3889,3.20684
0.321,71.6393,5275.9423,3.20719
0.32,71.7068,5297.6773,3.20755
0.319,71.775,5319.5962,3.2079
0.318,71.844,5341.701,3.20826
0.317,71.9137,5363.994,3.20861
0.316,71.9842,5386.4774,3.20897
0.315,72.0555,5409.1536,3.20933
0.314,72.1276,5432.0248,3.2097
0.313,72.2005,5455.0933,3.21006
0.312,72.2742,5478.3616,3.21042
0.311,72.3486,5501.8321,3.21079
0.31,72.4239,5525.5073,3.21116
0.309,72.5001,5549.3896,3.21153
0.308,72.577,5573.4816,3.2119
0.307,72.6548,5597.7859,3.21227
0.306,72.7334,5622.305,3.21265
0.305,72.8129,5647.0417,3.21303
0.304,72.8932,5671.9987,3.2134
0.303,72.9744,5697.1786,3.21378
0.302,73.0565,5722.5844,3.21416
0.301,73.1395,5748.2187,3.21455
0.3,73.2233,5774.0846,3.21493
0.299,73.308,5800.1849,3.21532
0.298,73.3937,5826.5226,3.2157
0.297,73.4802,5853.1007,3.21609
0.296,73.5677,5879.9224,3.21648
0.295,73.6561,5906.9906,3.21688
0.294,73.7454,5934.3087,3.21727
0.293,73.8357,5961.8798,3.21767
0.292,73.9269,5989.7072,3.21807
0.291,74.0191,6017.7942,3.21847
0.29,74.1122,6046.1443,3.21887
0.289,74.2064,6074.7608,3.21927
0.288,74.3015,6103.6473,3.21967
0.287,74.3976,6132.8074,3.22008
0.286,74.4948,6162.2446,3.22049
0.285,74.5929,6191.9627,3.2209
0.284,74.6921,6221.9653,3.22131
0.283,74.7923,6252.2564,3.22172
0.282,74.8936,6282.8398,3.22214
0.281,74.9959,6313.7194,3.22256
0.28,75.0993,6344.8992,3.22297
0.279,75.2038,6376.3834,3.2234
0.278,75.3094,6408.176,3.22382
0.277,75.416,6440.2814,3.22424
0.276,75.5238,6472.7037,3.22467
0.275,75.6327,6505.4474,3.2251
0.274,75.7427,6538.517,3.22553
0.273,75.8539,6571.9169,3.22596
0.272,75.9663,6605.6518,3.22639
0.271,76.0798,6639.7263,3.22683
0.27,76.1944,6674.1453,3.22727
0.269,76.3103,6708.9136,3.2277
0.268,76.4274,6744.0362,3.22815
0.267,76.5457,6779.518,3.22859
0.266,76.6652,6815.3643,3.22903
0.265,76.786,6851.5803,3.22948
0.264,76.908,6888.1713,3.22993
0.263,77.0313,6925.1426,3.23038
0.262,77.1559,6962.4999,3.23083
0.261,77.2818,7000.2488,3.23129
0.26,77.409,7038.3949,3.23175
0.259,77.5375,7076.9442,3.23221
0.258,77.6673,7115.9025,3.23267
0.257,77.7985,7155.276,3.23313
0.256,77.9311,7195.0708,3.2336
0.255,78.0651,7235.2931,3.23406
0.254,78.2004,7275.9495,3.23453
0.253,78.3372,7317.0464,3.235
0.252,78.4754,7358.5906,3.23548
0.251,78.6151,7400.5887,3.23595
0.25,78.7562,7443.0477,3.23643
0.249,78.8988,7485.9747,3.23691
0.248,79.0429,7529.3768,3.23739
0.247,79.1885,7573.2614,3.23788
0.246,79.3357,7617.6361,3.23836
0.245,79.4844,7662.5083,3.23885
0.244,79.6346,7707.8859,3.23934
0.243,79.7865,7753.7768,3.23983
0.242,79.9399,7800.1891,3.24033
0.241,80.095,7847.1311,3.24083
0.24,80.2517,7894.6112,3.24132
0.239,80.4101,7942.638,3.24183
0.238,80.5702,7991.2202,3.24233
0.237,80.732,8040.3669,3.24284
0.236,80.8955,8090.0871,3.24334
0.235,81.0607,8140.3902,3.24386
0.234,81.2277,8191.2857,3.24437
0.233,81.3965,8242.7833,3.24488
0.232,81.5671,8294.8929,3.2454
0.231,81.7396,8347.6247,3.24592
0.23,81.9139,8400.989,3.24644
0.229,82.09,8454.9964,3.24697
0.228,82.2681,8509.6576,3.24749
0.227,82.4481,8564.9837,3.24802
0.226,82.6301,8620.986,3.24856
0.225,82.814,8677.6759,3.24909
0.224,83,8735.0652,3.24963
0.223,83.1879,8793.1659,3.25017
0.222,83.378,8851.9903,3.25071
0.221,83.5701,8911.5509,3.25125
0.22,83.7643,8971.8605,3.2518
0.219,83.9606,9032.9323,3.25235
0.218,84.1592,9094.7796,3.2529
0.217,84.3599,9157.4161,3.25345
0.216,84.5628,9220.8559,3.25401
0.215,84.768,9285.1132,3.25457
0.214,84.9755,9350.2028,3.25513
0.213,85.1853,9416.1396,3.25569
0.212,85.3974,9482.9389,3.25626
0.211,85.6119,9550.6164,3.25683
0.21,85.8289,9619.1882,3.2574
0.209,86.0482,9688.6707,3.25797
0.208,86.2701,9759.0806,3.25855
0.207,86.4945,9830.4353,3.25913
0.206,86.7214,9902.7523,3.25971
0.205,86.9509,9976.0496,3.2603
0.204,87.1831,10050.3457,3.26088
0.203,87.4179,10125.6596,3.26147
0.202,87.6554,10202.0105,3.26207
0.201,87.8957,10279.4183,3.26266
0.2,88.1387,10357.9033,3.26326
0.199,88.3845,10437.4864,3.26386
0.198,88.6333,10518.1888,3.26447
0.197,88.8849,10600.0325,3.26507
0.196,89.1395,10683.0398,3.26568
0.195,89.397,10767.2336,3.26629
0.194,89.6576,10852.6376,3.26691
0.193,89.9213,10939.2758,3.26753
0.192,90.1882,11027.173,3.26815
0.191,90.4582,11116.3546,3.26877
0.19,90.7314,11206.8467,3.2694
0.189,91.0079,11298.6759,3.27003
0.188,91.2878,11391.8696,3.27066
0.187,91.571,11486.4559,3.2713
0.186,91.8577,11582.4638,3.27193
0.185,92.1479,11679.9228,3.27257
0.184,92.4416,11778.8634,3.27322
0.183,92.7389,11879.3167,3.27387
0.182,93.0399,11981.3149,3.27452
0.181,93.3446,12084.8908,3.27517
0.18,93.6531,12190.0782,3.27583
0.179,93.9655,12296.912,3.27648
0.178,94.2817,12405.4278,3.27715
0.177,94.602,12515.6623,3.27781
0.176,94.9263,12627.6533,3.27848
0.175,95.2547,12741.4394,3.27915
0.174,95.5872,12857.0605,3.27983
0.173,95.9241,12974.5577,3.2805
0.172,96.2652,13093.973,3.28118
0.171,96.6108,13215.3499,3.28187
0.17,96.9608,13338.7329,3.28256
0.169,97.3154,13464.1678,3.28325
0.168,97.6746,13591.7021,3.28394
0.167,98.0386,13721.3842,3.28464
0.166,98.4073,13853.2643,3.28534
0.165,98.7809,13987.3939,3.28604
0.164,99.1595,14123.826,3.28675
0.163,99.5432,14262.6154,3.28746
0.162,99.9321,14403.8184,3.28817
0.161,100.3262,14547.493,3.28889
0.16,100.7256,14693.699,3.2896
0.159,101.1305,14842.4982,3.29033
0.158,101.541,14993.9542,3.29105
0.157,101.9571,15148.1325,3.29178
0.156,102.379,15305.1007,3.29252
0.155,102.8067,15464.9287,3.29325
0.154,103.2405,15627.6884,3.29399
0.153,103.6804,15793.4542,3.29474
0.152,104.1265,15962.3028,3.29548
0.151,104.5789,16134.3133,3.29623
0.15,105.0378,16309.5677,3.29699
0.149,105.5033,16488.1503,3.29775
0.148,105.9756,16670.1485,3.29851
0.147,106.4547,16855.6526,3.29927
0.146,106.9409,17044.7557,3.30004
0.145,107.4342,17237.5543,3.30081
0.144,107.9348,17434.1481,3.30158
0.143,108.4429,17634.6402,3.30236
0.142,108.9586,17839.1374,3.30314
0.141,109.482,18047.75,3.30393
0.14,110.0134,18260.5923,3.30472
0.139,110.5529,18477.7827,3.30551
0.138,111.1007,18699.4438,3.30631
0.137,111.657,18925.7024,3.30711
0.136,112.2219,19156.6902,3.30791
0.135,112.7956,19392.5436,3.30872
0.134,113.3784,19633.4037,3.30953
0.133,113.9704,19879.4173,3.31034
0.132,114.5719,20130.7363,3.31116
0.131,115.1831,20387.5185,3.31198
0.13,115.8041,20649.9277,3.31281
0.129,116.4352,20918.1338,3.31364
0.128,117.0767,21192.3133,3.31447
0.127,117.7288,21472.6496,3.31531
0.126,118.3917,21759.3332,3.31615
0.125,119.0657,22052.5622,3.31699
0.124,119.7511,22352.5424,3.31784
0.123,120.4481,22659.4879,3.3187
0.122,121.1571,22973.6217,3.31955
0.121,121.8783,23295.1755,3.32041
0.12,122.612,23624.3908,3.32127
0.119,123.3586,23961.5188,3.32214
0.118,124.1183,24306.8216,3.32301
0.117,124.8915,24660.5721,3.32389
0.116,125.6785,25023.0547,3.32476
0.115,126.4798,25394.5663,3.32565
0.114,127.2957,25775.4164,3.32653
0.113,128.1265,26165.928,3.32742
0.112,128.9726,26566.4386,3.32832
0.111,129.8346,26977.3004,3.32921
0.11,130.7127,27398.8816,3.33011
0.109,131.6075,27831.5669,3.33102
0.108,132.5194,28275.7588,3.33193
0.107,133.4489,28731.8781,3.33284
0.106,134.3965,29200.3655,3.33375
0.105,135.3627,29681.6823,3.33467
0.104,136.3479,30176.3115,3.3356
0.103,137.3529,30684.7597,3.33653
0.102,138.3782,31207.5576,3.33746
0.101,139.4242,31745.2623,3.33839
0.1,140.4918,32298.4579,3.33933
0.099,141.5815,32867.7582,3.34027
0.098,142.694,33453.8076,3.34122
0.097,143.83,34057.2835,3.34217
0.096,144.9902,34678.8981,3.34312
0.095,146.1754,35319.4009,3.34408
0.094,147.3865,35979.5805,3.34503
0.093,148.6241,36660.2677,3.346
0.092,149.8892,37362.3379,3.34697
0.091,151.1827,38086.7141,3.34794
0.09,152.5056,38834.37,3.34891
0.089,153.8587,39606.3337,3.34989
0.088,155.2432,40403.6908,3.35087
0.087,156.6601,41227.5889,3.35185
0.086,158.1105,42079.2417,3.35284
0.085,159.5957,42959.9335,3.35383
0.084,161.1168,43871.0243,3.35482
0.083,162.6751,44813.9555,3.35581
0.082,164.2721,45790.2554,3.35681
0.081,165.9091,46801.546,3.35782
0.08,167.5876,47849.5496,3.35882
0.079,169.3092,48936.0968,3.35983
0.078,171.0755,50063.1343,3.36084
0.077,172.8884,51232.7344,3.36185
0.076,174.7495,52447.1047,3.36287
0.075,176.6608,53708.5985,3.36388
0.074,178.6244,55019.7272,3.3649
0.073,180.6424,56383.1728,3.36592
0.072,182.7171,57801.8024,3.36695
0.071,184.8507,59278.6831,3.36797
0.07,187.0459,60817.1,3.369
0.069,189.3054,62420.5744,3.37003
0.068,191.6318,64092.885,3.37106
0.067,194.0283,65838.0905,3.37209
0.066,196.4979,67660.5553,3.37312
0.065,199.0441,69564.9772,3.37416
0.064,201.6704,71556.4193,3.37519
0.063,204.3806,73640.3438,3.37623
0.062,207.1788,75822.6514,3.37726
0.061,210.0692,78109.7235,3.3783
0.06,213.0565,80508.4709,3.37933
0.059,216.1455,83026.387,3.38037
0.058,219.3415,85671.608,3.3814
0.057,222.6501,88452.981,3.38244
0.056,226.0773,91380.1392,3.38347
0.055,229.6294,94463.5881,3.3845
0.054,233.3135,97714.8023,3.38553
0.053,237.137,101146.3347,3.38655
0.052,241.1078,104771.9413,3.38757
0.051,245.2345,108606.722,3.38859
0.05,249.5265,112667.2826,3.38961
0.049,253.9939,116971.9185,3.39062
0.048,258.6475,121540.8259,3.39163
0.047,263.4991,126396.3448,3.39263
0.046,268.5616,131563.2385,3.39362
0.045,273.849,137069.0166,3.39461
0.044,279.3764,142944.3104,3.39559
0.043,285.1606,149223.3078,3.39657
0.042,291.2197,155944.2632,3.39753
0.041,297.5738,163150.0921,3.39848
0.04,304.2448,170889.0722,3.39943
0.039,311.257,179215.6694,3.40036
0.038,318.637,188191.5168,3.40127
0.037,326.4145,197886.5794,3.40218
0.036,334.6224,208380.5464,3.40306
0.035,343.2972,219764.5023,3.40393
0.034,352.48,232142.9438,3.40479
0.033,362.2164,245636.2262,3.40561
0.032,372.558,260383.5468,3.40642
0.031,383.5629,276546.6051,3.4072
0.03,395.2968,294314.1211,3.40796
0.029,407.8344,313907.4489,3.40868
0.028,421.2611,335587.6007,3.40937
0.027,435.6747,359664.1013,3.41002
0.026,451.1879,386506.2385,3.41063
0.025,467.9313,416557.4811,3.41119
0.024,486.0569,450354.1249,3.4117
0.023,505.743,488549.6458,3.41215
0.022,527.1997,531946.8466,3.41253
0.021,550.6766,581540.7807,3.41284
0.02,576.4725,638576.7874,3.41306
0.019,604.9482,704630.0314,3.41318
0.018,636.5429,781716.1487,3.41319
0.017,671.7976,872447.6983,3.41305
0.016,711.3852,980259.4024,3.41275
0.015,756.1541,1109738.96,3.41226
0.014,807.1887,1267123.848,3.41151
0.013,865.8967,1461066.214,3.41046
0.012,934.1394,1703844.091,3.40901
0.011,1014.4278,2013341.456,3.40704
0.01,1110.23,2416405.035,3.40435